id,party,list_pos,electorate,name
500,Green Party,,Nelson,"HOBBS, Jace"
377,New Zealand First Party,34,Maungakiekie,"HOGG, Andrew"
4,ACT New Zealand,5,Rangitīkei,"HOGGARD, Andrew John"
329,New Conservatives,6,Kelston,"HOOD, Alister"
444,Women’s Rights Party,8,,"HOSKINS, Sue Maree"
324,New Conservatives,1,Christchurch East,"HOUGHTON, Helen"
484,,,Kaikōura,"HOWARD, Ted"
26,ACT New Zealand,27,East Coast,"HOWE, Michael"
291,National Party,33,Mana,"HUGHES, Frances"
552,New Zealand Loyal,,Tukituki,"HULMAN, Rob"
118,Freedoms NZ,12,Waiariki,"HUNIA, Charles Tiki"
410,Te Pāti Māori,18,,"HURA, Rivah"
405,Te Pāti Māori,13,,"HURIWAI-SEGER, Pere"
58,ACT New Zealand,59,Remutaka,"HURLE, Michael"
356,New Zealand First Party,13,Waikato,"HUSBAND, Stuart"
250,Labour Party,60,Napier,"HUTCHINSON, Mark"
441,Women’s Rights Party,5,,"HYMAN, Prue"
67,Animal Justice Party,7,Christchurch Central,"JACKSON, Sarah"
198,Labour Party,8,,"JACKSON, Willie"
334,New Nation Party,1,,"JACOMB, Michael"
70,Animal Justice Party,10,Banks Peninsula,"JEET, Paran"
510,Protect and Prosper New Zealand,,Ōhāriu,"JENKINS, Martin"
168,Green Party,27,Hutt South,"JENNINGS, Neelu"
343,New Nation Party,10,,"JOHNSTON, Brian"
537,Labour Party,,Selwyn,"JONES, Luke"
345,New Zealand First Party,2,Northland,"JONES, Shane Geoffrey"
45,ACT New Zealand,46,Māngere,"JOSEPH, Pothen"
75,Animal Justice Party,15,Auckland Central,"KANE, Madeleine"
224,Labour Party,34,Papakura,"KANONGATA'A, Anahila"
401,Te Pāti Māori,9,Whangārei,"KAPA-KINGI, Eru"
399,Te Pāti Māori,7,Te Tai Tokerau,"KAPA-KINGI, Mariameno"
407,Te Pāti Māori,15,,"KAPA, Te Ao"
255,Labour Party,65,Port Waikato,"KEEL, Gwendoline"
398,Te Pāti Māori,6,Tāmaki Makaurau,"KEMP, Takutai Tarsh"
163,Green Party,22,Southland,"KENNEDY, Dave"
406,Te Pāti Māori,14,,"KEREAMA, Hoera"
521,,,Papakura,"KERR, Karin"
376,New Zealand First Party,33,Banks Peninsula,"KERSLAKE, Lindsay"
288,National Party,30,Manurewa,"KILARI, Siva"
94,DemocracyNZ,1,Northland,"KING, Matt"
302,National Party,44,East Coast,"KIRKPATRICK, Dana"
375,New Zealand First Party,32,Hamilton East,"KNAAP, Russelle"
522,New Zealand Loyal,,Papakura,"KOUKA, Donna"
478,New Zealand Loyal,,Invercargill,"KOWALEWSKI, David"
294,National Party,36,Taranaki-King Country,"KURIGER, Barbara"
69,Animal Justice Party,9,Whanganui,"KYLE, Sandra"
81,Aotearoa Legalise Cannabis Party,4,Christchurch East,"LAMBERT, Paula"
363,New Zealand First Party,20,Dunedin,"LANGEVELD, Keegan"
97,DemocracyNZ,4,Napier,"LANGFORD, Martin"
331,New Conservatives,8,Tauranga,"LANGRIDGE, Jono"
447,Women’s Rights Party,11,,"LAUDERDALE, Kathleen"
461,New Zealand Loyal,,Dunedin,"LAWTON, Steve"
106,DemocracyNZ,13,Whangaparāoa,"LAYBOURN, Craig"
242,Labour Party,52,Taieri,"LEARY, Ingrid"
